TIME,DEVICE,CONSUMPTION
01-01-20 1:00,D1,0.723
01-01-20 1:01,D1,0.375
01-01-20 1:02,D1,0.099
01-01-20 1:03,D1,0.218
01-01-20 1:04,D1,0.537
01-01-20 1:04,D1,0.537
01-01-20 1:06,D1,0.959
01-01-20 1:07,D1,0.811
01-01-20 1:08,D1,0.729
01-01-20 1:09,D1,0.532
01-01-20 1:10,D1,0.363
01-01-20 1:11,D1,0.455
01-01-20 1:12,D1,0.817
01-01-20 1:13,D1,0.865
01-01-20 1:14,D1,0.952
01-01-20 1:15,D1,0.18
01-01-20 1:16,D1,0.706
01-01-20 1:17,D1,0.986
01-01-20 1:18,D1,0.327
01-01-20 1:19,D1,0.678
01-01-20 1:20,D1,0.414
01-01-20 1:21,D1,0.33
01-01-20 1:22,D1,0.99
01-01-20 1:23,D1,0.746
01-01-20 1:24,D1,0.171
01-01-20 1:25,D1,0.726
01-01-20 1:26,D1,0.156
01-01-20 1:27,D1,0.698
01-01-20 1:28,D1,0.151
01-01-20 1:29,D1,0.208
01-01-20 1:30,D1,0.857
01-01-20 1:31,D1,0.481
01-01-20 1:32,D1,0.291
01-01-20 1:33,D1,0.771
01-01-20 1:34,D1,0.88
01-01-20 1:35,D1,0.446
01-01-20 1:36,D1,0.987
01-01-20 1:37,D1,0.462
01-01-20 1:38,D1,0.799
01-01-20 1:39,D1,0.672
01-01-20 1:40,D1,0.749
01-01-20 1:41,D1,0.427
01-01-20 1:42,D1,0.542
01-01-20 1:43,D1,0.516
01-01-20 1:44,D1,0.267
01-01-20 1:45,D1,0.049
01-01-20 1:46,D1,0.695
01-01-20 1:47,D1,0.563
01-01-20 1:48,D1,0.719
01-01-20 1:49,D1,0.131
01-01-20 1:50,D1,0.009
01-01-20 1:51,D1,0.495
01-01-20 1:52,D1,0.559
01-01-20 1:53,D1,0.121
01-01-20 1:54,D1,0.393
01-01-20 1:55,D1,0.48
01-01-20 1:56,D1,0.479
01-01-20 1:57,D1,0.775
01-01-20 1:58,D1,1
01-01-20 1:59,D1,0.539
01-01-20 2:00,D1,0.717
01-01-20 2:01,D1,0.264
01-01-20 2:02,D1,0.894
01-01-20 2:03,D1,0.048
01-01-20 2:04,D1,0.387
01-01-20 2:05,D1,0.676
01-01-20 2:06,D1,0.168
01-01-20 2:07,D1,0.929
01-01-20 2:08,D1,0.04
01-01-20 2:09,D1,0.054
01-01-20 2:10,D1,0.341
01-01-20 2:11,D1,0.328
01-01-20 2:12,D1,0.258
01-01-20 2:13,D1,0.606
01-01-20 2:14,D1,0.289
01-01-20 2:15,D1,0.576
01-01-20 2:16,D1,0.662
01-01-20 2:17,D1,0.477
01-01-20 2:18,D1,0.989
01-01-20 2:19,D1,0.992
01-01-20 2:20,D1,0.361
01-01-20 2:21,D1,0.539
01-01-20 2:22,D1,0.87
01-01-20 2:23,D1,0.693
01-01-20 2:24,D1,0.54
01-01-20 2:25,D1,0.974
01-01-20 2:26,D1,0.601
01-01-20 2:27,D1,0.864
01-01-20 2:28,D1,0.56
01-01-20 2:29,D1,0.021
01-01-20 2:30,D1,0.764
01-01-20 2:31,D1,0.116
01-01-20 2:32,D1,0.694
01-01-20 2:33,D1,0.182
01-01-20 2:34,D1,0.968
01-01-20 2:35,D1,0.445
01-01-20 2:36,D1,0.362
01-01-20 2:37,D1,0.329
01-01-20 2:38,D1,0.58
01-01-20 2:39,D1,0.985
01-01-20 2:40,D1,0.545
01-01-20 2:41,D1,0.616
01-01-20 2:42,D1,0.491
01-01-20 2:43,D1,0.25
01-01-20 2:44,D1,0.839
01-01-20 2:45,D1,0.832
01-01-20 2:46,D1,0.977
01-01-20 2:47,D1,0.766
01-01-20 2:48,D1,0.507
01-01-20 2:49,D1,0.864
01-01-20 2:50,D1,0.013
01-01-20 2:51,D1,0.072
01-01-20 2:52,D1,0.729
01-01-20 2:53,D1,0.202
01-01-20 2:54,D1,0.146
01-01-20 2:55,D1,0.842
01-01-20 2:56,D1,0.202
01-01-20 2:57,D1,0.049
01-01-20 2:58,D1,0.341
01-01-20 2:59,D1,0.51
01-01-20 3:00,D1,0.167
01-01-20 3:01,D1,0.396
01-01-20 3:02,D1,0.055
01-01-20 3:03,D1,0.126
01-01-20 3:04,D1,0.915
01-01-20 3:05,D1,0.623
01-01-20 3:06,D1,0.163
01-01-20 3:07,D1,0.354
01-01-20 3:08,D1,0.847
01-01-20 3:09,D1,0.569
01-01-20 3:10,D1,0.261
01-01-20 3:11,D1,0.438
01-01-20 3:12,D1,0.197
01-01-20 3:13,D1,0.743
01-01-20 3:14,D1,0.284
01-01-20 3:15,D1,0.697
01-01-20 3:16,D1,0.586
01-01-20 3:17,D1,0.316
01-01-20 3:18,D1,0.373
01-01-20 3:19,D1,0.612
01-01-20 3:20,D1,0.711
01-01-20 3:21,D1,0.806
01-01-20 3:22,D1,0.381
01-01-20 3:23,D1,0.84
01-01-20 3:24,D1,0.556
01-01-20 3:25,D1,0.926
01-01-20 3:26,D1,0.463
01-01-20 3:27,D1,0.553
01-01-20 3:28,D1,0.73
01-01-20 3:29,D1,0.885
01-01-20 3:30,D1,0.722
01-01-20 3:31,D1,0.368
01-01-20 3:32,D1,0.693
01-01-20 3:33,D1,0.53
01-01-20 3:34,D1,0.007
01-01-20 3:35,D1,0.719
01-01-20 3:36,D1,0.888
01-01-20 3:37,D1,0.139
01-01-20 3:38,D1,0.531
01-01-20 3:39,D1,0.974
01-01-20 3:40,D1,0.025
01-01-20 3:41,D1,0.323
01-01-20 3:42,D1,0.168
01-01-20 3:43,D1,0.751
01-01-20 3:44,D1,0.09
01-01-20 3:45,D1,0.454
01-01-20 3:46,D1,0.947
01-01-20 3:47,D1,0.885
01-01-20 3:48,D1,0.935
01-01-20 3:49,D1,0.273
01-01-20 3:50,D1,0.475
01-01-20 3:51,D1,0.223
01-01-20 3:52,D1,0.69
01-01-20 3:53,D1,0.865
01-01-20 3:54,D1,0.768
01-01-20 3:55,D1,0.99
01-01-20 3:56,D1,0.602
01-01-20 3:57,D1,0.95
01-01-20 3:58,D1,0.241
01-01-20 3:59,D1,0.737
01-01-20 4:00,D1,0.325
01-01-20 4:01,D1,0.546
01-01-20 4:02,D1,0.419
01-01-20 4:03,D1,0.021
01-01-20 4:04,D1,0.135
01-01-20 4:05,D1,0.424
01-01-20 4:06,D1,0.257
01-01-20 4:07,D1,0.826
01-01-20 4:08,D1,0.028
01-01-20 4:09,D1,0.387
01-01-20 4:10,D1,0.837
01-01-20 4:11,D1,0.368
01-01-20 4:12,D1,0.14
01-01-20 4:13,D1,0.358
01-01-20 4:14,D1,0.6
01-01-20 4:15,D1,0.41
01-01-20 4:16,D1,0.511
01-01-20 4:17,D1,0.46
01-01-20 4:18,D1,0.212
01-01-20 4:19,D1,0.397
01-01-20 4:20,D1,0.741
01-01-20 4:21,D1,0.727
01-01-20 4:22,D1,0.61
01-01-20 4:23,D1,0.742
01-01-20 4:24,D1,0.73
01-01-20 4:25,D1,0.908
01-01-20 4:26,D1,0.783
01-01-20 4:27,D1,0.357
01-01-20 4:28,D1,0.291
01-01-20 4:29,D1,0.812
01-01-20 4:30,D1,0.356
01-01-20 4:31,D1,0.11
01-01-20 4:32,D1,0.122
01-01-20 4:33,D1,0.025
01-01-20 4:34,D1,0.114
01-01-20 4:35,D1,0.221
01-01-20 4:36,D1,0.292
01-01-20 4:37,D1,0.39
01-01-20 4:38,D1,0.159
01-01-20 4:39,D1,0.726
01-01-20 4:40,D1,0.145
01-01-20 4:41,D1,0.587
01-01-20 4:42,D1,0.566
01-01-20 4:43,D1,0.07
01-01-20 4:44,D1,0.271
01-01-20 4:45,D1,0.266
01-01-20 4:46,D1,0.986
01-01-20 4:47,D1,0.554
01-01-20 4:48,D1,0.989
01-01-20 4:49,D1,0.695
01-01-20 4:50,D1,0.884
01-01-20 4:51,D1,0.853
01-01-20 4:52,D1,0.611
01-01-20 4:53,D1,0.569
01-01-20 4:54,D1,0.779
01-01-20 4:55,D1,0.04
01-01-20 4:56,D1,0.596
01-01-20 4:57,D1,0.688
01-01-20 4:58,D1,0.097
01-01-20 4:59,D1,0.637
01-01-20 5:00,D1,0.605
01-01-20 5:01,D1,0.47
01-01-20 5:02,D1,0.044
01-01-20 5:03,D1,0.96
01-01-20 5:04,D1,0.367
01-01-20 5:05,D1,0.888
01-01-20 5:06,D1,0.182
01-01-20 5:07,D1,0.681
01-01-20 5:08,D1,0.221
01-01-20 5:09,D1,0.225
01-01-20 5:10,D1,0.257
01-01-20 5:11,D1,0.869
01-01-20 5:12,D1,0.177
01-01-20 5:13,D1,0.238
01-01-20 5:14,D1,0.171
01-01-20 5:15,D1,0.935
01-01-20 5:16,D1,0.341
01-01-20 5:17,D1,0.71
01-01-20 5:18,D1,0.908
01-01-20 5:19,D1,0.867
01-01-20 5:20,D1,0.592
01-01-20 5:21,D1,0.086
01-01-20 5:22,D1,0.647
01-01-20 5:23,D1,0.819
01-01-20 5:24,D1,0.479
01-01-20 5:25,D1,0.861
01-01-20 5:26,D1,0.248
01-01-20 5:27,D1,0.664
01-01-20 5:28,D1,0.397
01-01-20 5:29,D1,0.688
01-01-20 5:30,D1,0.821
01-01-20 5:31,D1,0.372
01-01-20 5:32,D1,0.23
01-01-20 5:33,D1,0.668
01-01-20 5:34,D1,0.059
01-01-20 5:35,D1,0.147
01-01-20 5:36,D1,0.838
01-01-20 5:37,D1,0.18
01-01-20 5:38,D1,0.636
01-01-20 5:39,D1,0.115
01-01-20 5:40,D1,0.941
01-01-20 5:41,D1,0.643
01-01-20 5:42,D1,0.005
01-01-20 5:43,D1,0.946
01-01-20 5:44,D1,0.178
01-01-20 5:45,D1,0.077
01-01-20 5:46,D1,0.575
01-01-20 5:47,D1,0.246
01-01-20 5:48,D1,0.391
01-01-20 5:49,D1,0.92
01-01-20 5:50,D1,0.393
01-01-20 5:51,D1,0.704
01-01-20 5:52,D1,0.475
01-01-20 5:53,D1,0.578
01-01-20 5:54,D1,0.132
01-01-20 5:55,D1,0.98
01-01-20 5:56,D1,0.439
01-01-20 5:57,D1,0.392
01-01-20 5:58,D1,0.4
01-01-20 5:59,D1,0.032
01-01-20 6:00,D1,0.691
01-01-20 6:01,D1,0.204
01-01-20 6:02,D1,0.127
01-01-20 6:03,D1,0.17
01-01-20 6:04,D1,0.939
01-01-20 6:05,D1,0.555
01-01-20 6:06,D1,0.079
01-01-20 6:07,D1,0.368
01-01-20 6:08,D1,0.518
01-01-20 6:09,D1,0.566
01-01-20 6:10,D1,0.306
01-01-20 6:11,D1,0.529
01-01-20 6:12,D1,0.389
01-01-20 6:13,D1,0.959
01-01-20 6:14,D1,0.733
01-01-20 6:15,D1,0.215
01-01-20 6:16,D1,0.55
01-01-20 6:17,D1,0.295
01-01-20 6:18,D1,0.92
01-01-20 6:19,D1,0.06
01-01-20 6:20,D1,0.091
01-01-20 6:21,D1,0.431
01-01-20 6:22,D1,0.438
01-01-20 6:23,D1,0.479
01-01-20 6:24,D1,0.679
01-01-20 6:25,D1,0.412
01-01-20 6:26,D1,0.233
01-01-20 6:27,D1,0.545
01-01-20 6:28,D1,0.819
01-01-20 6:29,D1,0.482
01-01-20 6:30,D1,0.82
01-01-20 6:31,D1,0.88
01-01-20 6:32,D1,0.846
01-01-20 6:33,D1,0.684
01-01-20 6:34,D1,0.13
01-01-20 6:35,D1,0.189
01-01-20 6:36,D1,0.242
01-01-20 6:37,D1,0.553
01-01-20 6:38,D1,0.367
01-01-20 6:39,D1,0.661
01-01-20 6:40,D1,0.517
01-01-20 6:41,D1,0.739
01-01-20 6:42,D1,0.285
01-01-20 6:43,D1,0.756
01-01-20 6:44,D1,0.619
01-01-20 6:45,D1,0.015
01-01-20 6:46,D1,0.871
01-01-20 6:47,D1,0.064
01-01-20 6:48,D1,0.532
01-01-20 6:49,D1,0.992
01-01-20 6:50,D1,0.572
01-01-20 6:51,D1,0.815
01-01-20 6:52,D1,0.512
01-01-20 6:53,D1,0.081
01-01-20 6:54,D1,0.796
01-01-20 6:55,D1,0.295
01-01-20 6:56,D1,0.18
01-01-20 6:57,D1,0.643
01-01-20 6:58,D1,0.664
01-01-20 6:59,D1,0.923
01-01-20 7:00,D1,0.515
01-01-20 7:01,D1,0.041
01-01-20 7:02,D1,0.649
01-01-20 7:03,D1,0.957
01-01-20 7:04,D1,0.654
01-01-20 7:05,D1,0.311
01-01-20 7:06,D1,0.007
01-01-20 7:07,D1,0.862
01-01-20 7:08,D1,0.272
01-01-20 7:09,D1,0.474
01-01-20 7:10,D1,0.675
01-01-20 7:11,D1,0.169
01-01-20 7:12,D1,0.249
01-01-20 7:13,D1,0.065
01-01-20 7:14,D1,0.614
01-01-20 7:15,D1,0.254
01-01-20 7:16,D1,0.263
01-01-20 7:17,D1,0.363
01-01-20 7:18,D1,0.419
01-01-20 7:19,D1,0.841
01-01-20 7:20,D1,0.932
01-01-20 7:21,D1,0.895
01-01-20 7:22,D1,0.367
01-01-20 7:23,D1,0.182
01-01-20 7:24,D1,0.136
01-01-20 7:25,D1,0.251
01-01-20 7:26,D1,0.005
01-01-20 7:27,D1,0.834
01-01-20 7:28,D1,0.181
01-01-20 7:29,D1,0.92
01-01-20 7:30,D1,0.777
01-01-20 7:31,D1,0.629
01-01-20 7:32,D1,0.568
01-01-20 7:33,D1,0.871
01-01-20 7:34,D1,0.174
01-01-20 7:35,D1,0.974
01-01-20 7:36,D1,0.188
01-01-20 7:37,D1,0.847
01-01-20 7:38,D1,0.38
01-01-20 7:39,D1,0.872
01-01-20 7:40,D1,0.929
01-01-20 7:41,D1,0.892
01-01-20 7:42,D1,0.399
01-01-20 7:43,D1,0.143
01-01-20 7:44,D1,0.847
01-01-20 7:45,D1,0.48
01-01-20 7:46,D1,0.222
01-01-20 7:47,D1,0.141
01-01-20 7:48,D1,0.228
01-01-20 7:49,D1,0.696
01-01-20 7:50,D1,0.66
01-01-20 7:51,D1,0.918
01-01-20 7:52,D1,0.117
01-01-20 7:53,D1,0.318
01-01-20 7:54,D1,0.116
01-01-20 7:55,D1,0.166
01-01-20 7:56,D1,0.127
01-01-20 7:57,D1,0.359
01-01-20 7:58,D1,0.676
01-01-20 7:59,D1,0.485
01-01-20 8:00,D1,0.666
01-01-20 8:01,D1,0.508
01-01-20 8:02,D1,0.624
01-01-20 8:03,D1,0.455
01-01-20 8:04,D1,0.993
01-01-20 8:05,D1,0.227
01-01-20 8:06,D1,0.672
01-01-20 8:07,D1,0.798
01-01-20 8:08,D1,0.913
01-01-20 8:09,D1,0.71
01-01-20 8:10,D1,0.937
01-01-20 8:11,D1,0.385
01-01-20 8:12,D1,0.271
01-01-20 8:13,D1,0.755
01-01-20 8:14,D1,0.994
01-01-20 8:15,D1,0.206
01-01-20 8:16,D1,0.843
01-01-20 8:17,D1,0.647
01-01-20 8:18,D1,0.113
01-01-20 8:19,D1,0.484
01-01-20 8:20,D1,0.656
01-01-20 8:21,D1,0.528
01-01-20 8:22,D1,0.14
01-01-20 8:23,D1,0.017
01-01-20 8:24,D1,0.24
01-01-20 8:25,D1,0.374
01-01-20 8:26,D1,0.355
01-01-20 8:27,D1,0.462
01-01-20 8:28,D1,0.848
01-01-20 8:29,D1,0.604
01-01-20 8:30,D1,0.018
01-01-20 8:31,D1,0.729
01-01-20 8:32,D1,0.197
01-01-20 8:33,D1,0.563
01-01-20 8:34,D1,0.272
01-01-20 8:35,D1,0.88
01-01-20 8:36,D1,0.859
01-01-20 8:37,D1,0.615
01-01-20 8:38,D1,0.506
01-01-20 8:39,D1,0.898
01-01-20 8:40,D1,0.048
01-01-20 8:41,D1,0.322
01-01-20 8:42,D1,0.31
01-01-20 8:43,D1,0.523
01-01-20 8:44,D1,0.156
01-01-20 8:45,D1,0.261
01-01-20 8:46,D1,0.623
01-01-20 8:47,D1,0.858
01-01-20 8:48,D1,0.09
01-01-20 8:49,D1,0.346
01-01-20 8:50,D1,0.805
01-01-20 8:51,D1,0.842
01-01-20 8:52,D1,0.126
01-01-20 8:53,D1,0.125
01-01-20 8:54,D1,0.878
01-01-20 8:55,D1,0.78
01-01-20 8:56,D1,0.736
01-01-20 8:57,D1,0.435
01-01-20 8:58,D1,0.344
01-01-20 8:59,D1,0.05
01-01-20 9:00,D1,0.626
01-01-20 9:01,D1,0.958
01-01-20 9:02,D1,0.627
01-01-20 9:03,D1,0.777
01-01-20 9:04,D1,0.958
01-01-20 9:05,D1,0.656
01-01-20 9:06,D1,0.363
01-01-20 9:07,D1,0.74
01-01-20 9:08,D1,0.616
01-01-20 9:09,D1,0.854
01-01-20 9:10,D1,0.473
01-01-20 9:11,D1,0.044
01-01-20 9:12,D1,0.173
01-01-20 9:13,D1,0.686
01-01-20 9:14,D1,0.2
01-01-20 9:15,D1,0.093
01-01-20 9:16,D1,0.133
01-01-20 9:17,D1,0.968
01-01-20 9:18,D1,0.068
01-01-20 9:19,D1,0.239
01-01-20 9:20,D1,0.931
01-01-20 9:21,D1,0.131
01-01-20 9:22,D1,0.021
01-01-20 9:23,D1,0.056
01-01-20 9:24,D1,0.105
01-01-20 9:25,D1,0.685
01-01-20 9:26,D1,0.843
01-01-20 9:27,D1,0.59
01-01-20 9:28,D1,0.049
01-01-20 9:29,D1,0.848
01-01-20 9:30,D1,0.319
01-01-20 9:31,D1,0.059
01-01-20 9:32,D1,0.767
01-01-20 9:33,D1,0.409
01-01-20 9:34,D1,0.511
01-01-20 9:35,D1,0.447
01-01-20 9:36,D1,0.057
01-01-20 9:37,D1,0.547
01-01-20 9:38,D1,0.931
01-01-20 9:39,D1,0.14
01-01-20 9:40,D1,0.677
01-01-20 9:41,D1,0.38
01-01-20 9:42,D1,0.392
01-01-20 9:43,D1,0.249
01-01-20 9:44,D1,0.093
01-01-20 9:45,D1,0.229
01-01-20 9:46,D1,0.756
01-01-20 9:47,D1,0.565
01-01-20 9:48,D1,0.584
01-01-20 9:49,D1,0.168
01-01-20 9:50,D1,0.888
01-01-20 9:51,D1,0.131
01-01-20 9:52,D1,0.624
01-01-20 9:53,D1,0.227
01-01-20 9:54,D1,0.622
01-01-20 9:55,D1,0.287
01-01-20 9:56,D1,0.657
01-01-20 9:57,D1,0.769
01-01-20 9:58,D1,0.668
01-01-20 9:59,D1,0.642
01-01-20 10:00,D1,0.621
01-01-20 10:01,D1,0.893
01-01-20 10:02,D1,0.996
01-01-20 10:03,D1,0.857
01-01-20 10:04,D1,0.826
01-01-20 10:05,D1,0.457
01-01-20 10:06,D1,0.379
01-01-20 10:07,D1,0.304
01-01-20 10:08,D1,0.072
01-01-20 10:09,D1,0.212
01-01-20 10:10,D1,0.465
01-01-20 10:11,D1,0.621
01-01-20 10:12,D1,0.245
01-01-20 10:13,D1,0.8
01-01-20 10:14,D1,0.953
01-01-20 10:15,D1,0.971
01-01-20 10:16,D1,0.947
01-01-20 10:17,D1,0.889
01-01-20 10:18,D1,0.195
01-01-20 10:19,D1,0.298
01-01-20 10:20,D1,0.116
01-01-20 10:21,D1,0.502
01-01-20 10:22,D1,0.824
01-01-20 10:23,D1,0.224
01-01-20 10:24,D1,0.015
01-01-20 10:25,D1,0.678
01-01-20 10:26,D1,0.801
01-01-20 10:27,D1,0.307
01-01-20 10:28,D1,0.394
01-01-20 10:29,D1,0.982
01-01-20 10:30,D1,0.625
01-01-20 10:31,D1,0.264
01-01-20 10:32,D1,0.128
01-01-20 10:33,D1,0.995
01-01-20 10:34,D1,0.317
01-01-20 10:35,D1,0.415
01-01-20 10:36,D1,0.123
01-01-20 10:37,D1,0.853
01-01-20 10:38,D1,0.171
01-01-20 10:39,D1,0.038
01-01-20 10:40,D1,0.849
01-01-20 10:41,D1,0.113
01-01-20 10:42,D1,0.221
01-01-20 10:43,D1,0.571
01-01-20 10:44,D1,0.394
01-01-20 10:45,D1,0.699
01-01-20 10:46,D1,0.813
01-01-20 10:47,D1,0.553
01-01-20 10:48,D1,0.567
01-01-20 10:49,D1,0.448
01-01-20 10:50,D1,0.686
01-01-20 10:51,D1,0.02
01-01-20 10:52,D1,0.201
01-01-20 10:53,D1,0.83
01-01-20 10:54,D1,0.459
01-01-20 10:55,D1,0.621
01-01-20 10:56,D1,0.463
01-01-20 10:57,D1,0.746
01-01-20 10:58,D1,0.517
01-01-20 10:59,D1,0.04
01-01-20 11:00,D1,0.684
01-01-20 11:01,D1,0.905
01-01-20 11:02,D1,0.84
01-01-20 11:03,D1,0.491
01-01-20 11:04,D1,0.961
01-01-20 11:05,D1,0.191
01-01-20 11:06,D1,0.454
01-01-20 11:07,D1,0.899
01-01-20 11:08,D1,0.506
01-01-20 11:09,D1,0.595
01-01-20 11:10,D1,0.838
01-01-20 11:11,D1,0.104
01-01-20 11:12,D1,0.549
01-01-20 11:13,D1,0.727
01-01-20 11:14,D1,0.785
01-01-20 11:15,D1,0.896
01-01-20 11:16,D1,0.394
01-01-20 11:17,D1,0.696
01-01-20 11:18,D1,0.938
01-01-20 11:19,D1,0.923
01-01-20 11:20,D1,0.09
01-01-20 11:21,D1,0.121
01-01-20 11:22,D1,0.468
01-01-20 11:23,D1,0.555
01-01-20 11:24,D1,0.071
01-01-20 11:25,D1,0.349
01-01-20 11:26,D1,0.121
01-01-20 11:27,D1,0.597
01-01-20 11:28,D1,0.007
01-01-20 11:29,D1,0.564
01-01-20 11:30,D1,0.189
01-01-20 11:31,D1,0.35
01-01-20 11:32,D1,0.097
01-01-20 11:33,D1,0.27
01-01-20 11:34,D1,0.766
01-01-20 11:35,D1,0.883
01-01-20 11:36,D1,0.967
01-01-20 11:37,D1,0.836
01-01-20 11:38,D1,0.059
01-01-20 11:39,D1,0.532
01-01-20 11:40,D1,0.372
01-01-20 11:41,D1,0.169
01-01-20 11:42,D1,0.376
01-01-20 11:43,D1,0.6
01-01-20 11:44,D1,0.948
01-01-20 11:45,D1,0.316
01-01-20 11:46,D1,0.889
01-01-20 11:47,D1,0.93
01-01-20 11:48,D1,0.296
01-01-20 11:49,D1,0.75
01-01-20 11:50,D1,0.197
01-01-20 11:51,D1,0.542
01-01-20 11:52,D1,0.819
01-01-20 11:53,D1,0.393
01-01-20 11:54,D1,0.231
01-01-20 11:55,D1,0.798
01-01-20 11:56,D1,0.854
01-01-20 11:57,D1,0.96
01-01-20 11:58,D1,0.045
01-01-20 11:59,D1,0.608
01-01-20 12:00,D1,0.796
01-01-20 12:01,D1,0.033
01-01-20 12:02,D1,0.627
01-01-20 12:03,D1,0.083
01-01-20 12:04,D1,0.119
01-01-20 12:05,D1,0.399
01-01-20 12:06,D1,0.902
01-01-20 12:07,D1,0.597
01-01-20 12:08,D1,0.431
01-01-20 12:09,D1,0.566
01-01-20 12:10,D1,0.766
01-01-20 12:11,D1,0.691
01-01-20 12:12,D1,0.932
01-01-20 12:13,D1,0.046
01-01-20 12:14,D1,0.109
01-01-20 12:15,D1,0.406
01-01-20 12:16,D1,0.984
01-01-20 12:17,D1,0.957
01-01-20 12:18,D1,0.473
01-01-20 12:19,D1,0.602
01-01-20 12:20,D1,0.756
01-01-20 12:21,D1,0.712
01-01-20 12:22,D1,0.21
01-01-20 12:23,D1,0.596
01-01-20 12:24,D1,0.329
01-01-20 12:25,D1,0.107
01-01-20 12:26,D1,0.74
01-01-20 12:27,D1,0.944
01-01-20 12:28,D1,0.971
01-01-20 12:29,D1,0.887
01-01-20 12:30,D1,0.777
01-01-20 12:31,D1,0.552
01-01-20 12:32,D1,0.756
01-01-20 12:33,D1,0.971
01-01-20 12:34,D1,0.229
01-01-20 12:35,D1,0.357
01-01-20 12:36,D1,0.1
01-01-20 12:37,D1,0.879
01-01-20 12:38,D1,0.762
01-01-20 12:39,D1,0.71
01-01-20 12:40,D1,0.312
01-01-20 12:41,D1,0.514
01-01-20 12:42,D1,0.942
01-01-20 12:43,D1,0.26
01-01-20 12:44,D1,0.728
01-01-20 12:45,D1,0.421
01-01-20 12:46,D1,0.22
01-01-20 12:47,D1,0.563
01-01-20 12:48,D1,0.554
01-01-20 12:49,D1,0.81
01-01-20 12:50,D1,0.998
01-01-20 12:51,D1,0.853
01-01-20 12:52,D1,0.119
01-01-20 12:53,D1,0.137
01-01-20 12:54,D1,0.441
01-01-20 12:55,D1,0.443
01-01-20 12:56,D1,0.834
01-01-20 12:57,D1,0.8
01-01-20 12:58,D1,0.712
01-01-20 12:59,D1,0.967
01-01-20 13:00,D1,0.776
01-01-20 13:01,D1,0.544
01-01-20 13:02,D1,0.832
01-01-20 13:03,D1,0.274
01-01-20 13:04,D1,0.515
01-01-20 13:05,D1,0.513
01-01-20 13:06,D1,0.41
01-01-20 13:07,D1,0.099
01-01-20 13:08,D1,0.457
01-01-20 13:09,D1,0.493
01-01-20 13:10,D1,0.095
01-01-20 13:11,D1,0.787
01-01-20 13:12,D1,0.729
01-01-20 13:13,D1,0.767
01-01-20 13:14,D1,0.684
01-01-20 13:15,D1,0.233
01-01-20 13:16,D1,0.397
01-01-20 13:17,D1,0.208
01-01-20 13:18,D1,0.532
01-01-20 13:19,D1,0.91
01-01-20 13:20,D1,0.56
01-01-20 13:21,D1,0.646
01-01-20 13:22,D1,0.01
01-01-20 13:23,D1,0.297
01-01-20 13:24,D1,0.742
01-01-20 13:25,D1,0.333
01-01-20 13:26,D1,0.54
01-01-20 13:27,D1,0.313
01-01-20 13:28,D1,0.791
01-01-20 13:29,D1,0.287
01-01-20 13:30,D1,0.941
01-01-20 13:31,D1,0.347
01-01-20 13:32,D1,0.446
01-01-20 13:33,D1,0.656
01-01-20 13:34,D1,0.601
01-01-20 13:35,D1,0.327
01-01-20 13:36,D1,0.579
01-01-20 13:37,D1,0.762
01-01-20 13:38,D1,0.301
01-01-20 13:39,D1,0.84
01-01-20 13:40,D1,0.133
